,name,sector,close,atr14,atr_pct,vol20d_ann,rsi14,turnover_sek,ret_1d,ret_5d,ret_21d,momentum,trend,reversal,volume,fundamental,sentiment,macro,score,confidence,qual_notes
SSAB-B.ST,SSAB B,Material,103.4499969482422,3.4877372732967102,0.03371423273257016,0.43079432400724177,54.02402579990545,284782575.93245584,0.020216917076082197,-0.012410530327043423,0.01620819103163984,0.6493915050573106,0.6983626475426731,0.2949477926758143,0.8395078140862132,0.0,0.0,0.0,0.3385724433676207,0.564,
SEB-A.ST,SEB A,Finans,221.6999969482422,3.052739417828747,0.013769686332207915,0.14271922527579062,59.98606309417824,409175255.05857694,0.008644194131503191,0.019310330796515895,0.008185552986441191,0.3481753933015691,0.7233479631145526,-0.019135521593676624,0.027259899496957736,0.0,0.0,0.0,0.19499548560805535,0.471,
ATCO-A.ST,Atlas Copco A,Industri,206.1999969482422,4.061008971775664,0.01969451518854779,0.214817678380073,56.02418081723225,618619217.1158173,0.010289028818850188,0.029970030426879513,0.022817414213591958,0.35517112626035263,0.7218855617905413,-0.020613467883237487,-0.10104021844186303,0.0,0.0,0.0,0.18996225812325243,0.378,
SWED-A.ST,Swedbank A,Finans,372.8999938964844,5.144220853595167,0.013795175483492185,0.1452078488960509,49.492690389474625,476844220.31792146,0.010569089150364253,0.001880660038946269,-0.0024076884052305347,0.3872668851009215,0.30493479182047867,0.27935440988832205,0.2890023291042708,0.0,0.0,0.0,0.18494249749234792,0.564,
SINCH.ST,Sinch,Teknik,45.380001068115234,1.4505006264317435,0.03196343306062392,0.38219767956336176,66.27282380442784,88991079.07186928,-0.003732122322561926,0.033007073818950516,0.14020105371908542,0.35759154185317105,0.7462325566022008,-0.21951796256873035,0.11007480631215842,0.0,0.0,0.0,0.18488471301235776,0.471,
ATCO-B.ST,Atlas Copco B,Industri,179.75,3.195476718327403,0.01777733918401893,0.18939585335964418,55.54678949389547,193668549.18351442,0.007849699178994252,0.03008595988538687,0.010683125281303107,0.3294581341956254,0.7241245795309441,-0.013052943557665144,-0.2910117459375313,0.0,0.0,0.0,0.17512733882590492,0.378,
SAVE.ST,Nordnet,Finans,368.0,6.509166203789057,0.017687951640731135,0.171904557588067,56.35186149583945,54668473.03482513,0.007115506696620866,0.02449885159774645,0.006014248989741233,0.30676818380241044,0.7244235773031676,0.00990322563749973,-0.2370531981874581,0.0,0.0,0.0,0.17449324520045484,0.471,
GETI-B.ST,Getinge B,Halsovard,242.6000061035156,3.7914064261634617,0.015628220654478043,0.11320548760135914,66.66472279349242,90761350.48112717,-0.0028770938736621954,-0.006145022378098108,0.053408610025043934,0.28436125977530996,0.7342574227316463,0.032932302548454334,-0.3690553181112553,0.0,0.0,0.0,0.1660693927028571,0.471,
TREL-B.ST,Trelleborg B,Industri,442.2000122070313,6.7561962528847825,0.015278598069603026,0.16606645323100125,63.60305683576293,96192614.89040527,-0.0013549584518462998,0.03851579352800849,0.047867327504813595,0.16212676027776815,0.7489463378821265,-0.20942468239986228,0.3737568185424881,0.0,0.0,0.0,0.1506190134388992,0.471,
SAAB-B.ST,Saab B,Industri,629.4000244140625,19.555359420808227,0.031069842170745404,0.28450796313308213,49.378458039221094,948512880.9511871,-0.01378876155538844,-0.0687971568580883,0.047254616329554855,0.2327719188632744,0.19522512998392344,0.72612579512233,-0.23219533573975756,0.0,0.0,0.0,0.14847956193865225,0.471,
ESSITY-B.ST,Essity B,Dagligvaror,281.20001220703125,4.446513532363157,0.015812636341884106,0.19906979405858402,56.89620318513891,292446659.5954193,0.0017812610554188701,0.03687315468247876,0.004285757882254382,0.07340314461735553,0.7440343966370622,-0.0815425835536416,0.5184957219490136,0.0,0.0,0.0,0.14772647339198472,0.471,
NDA-SE.ST,Nordea,Finans,194.3500061035156,2.4324299158501637,0.0125157182375111,0.12567378852349723,62.55531753563053,251403663.05435103,0.006994850277282971,0.029668906508691917,0.006408515546645122,0.20306832087116417,0.7495540823512721,-0.13255743283156077,-0.18182041490295914,0.0,0.0,0.0,0.14085342854217783,0.378,
ALFA.ST,Alfa Laval,Industri,575.4000244140625,9.527042184707929,0.01655725022676084,0.1812187780936645,59.241745707946826,180405794.87412414,0.0006956946331522218,0.05000004455120899,0.014099400168798626,0.21580674922130114,0.7245124233073801,-0.2093950805252066,-0.07439348507099014,0.0,0.0,0.0,0.13796936849536212,0.378,
HM-B.ST,H&M B,Sallankopsvaror,180.6999969482422,3.4511653892436938,0.01909886799960605,0.23750894291761107,57.974230004896576,279282621.9307648,-0.020596222502752393,-0.010676140232161013,0.0676513852185654,0.18864176043278885,0.6941531078699142,0.21454886879648719,-0.745059320692255,0.0,0.0,0.0,0.13548532713372033,0.471,
INVE-B.ST,Investor B,Finans,414.2999877929688,4.573743391606834,0.011039689901927765,0.1126588624323466,56.80673825786613,845993956.5631943,-0.0027681414857906317,0.009995064514693786,0.018686932278892288,0.2922331419180519,0.3242447377498717,0.09801992189045994,0.03562746887965521,0.0,0.0,0.0,0.13327836177502247,0.564,
LUND-B.ST,Lundbergforetagen B,Finans,573.0,7.42866479344017,0.012964510983316179,0.14082783254834402,58.00543394440206,48876686.7,0.0,0.030575539568345356,0.008802816901408494,0.07565708008867837,0.7215639398531898,-0.05918720627541858,0.18486772888044173,0.0,0.0,0.0,0.13047352681662827,0.471,
SKA-B.ST,Skanska B,Industri,273.29998779296875,4.0590334796051675,0.01485193436115329,0.14129357262229025,63.88793682572312,146471488.98225707,0.00330394242529386,0.04193671563828749,0.03444350933188689,0.10703131037639053,0.7504931647235553,-0.237049783454046,0.24917847274880206,0.0,0.0,0.0,0.12808574759466643,0.471,
AZA.ST,Avanza Bank,Finans,403.6000061035156,7.152972340515408,0.017722924262495696,0.12566385288076523,59.99614230246879,83428082.15558472,0.004980079605587662,0.03090678442788164,0.03566844614082232,0.15482460571572956,0.7504931647235553,-0.09610956321529987,-0.3096239195186076,0.0,0.0,0.0,0.1261879738400053,0.378,
SAND.ST,Sandvik,Industri,396.2999877929688,9.145807736701387,0.02307799146710863,0.2513388489542929,66.74614099483648,555510211.8220749,0.003799392214739905,0.10543929649363681,0.12425528451906054,0.2962239580610538,0.7075235865739203,-0.7074618775809305,0.26039339633320835,0.0,0.0,0.0,0.12245800955991887,0.471,
CAST.ST,Castellum,Fastighet,133.5500030517578,1.9144714100083196,0.014335240481172875,0.10270035608531215,50.63293376279354,159525636.6815384,-0.0007481545027530068,-0.013298876768289003,0.009829890750531645,0.09791283922575202,0.3237792244636033,0.3599898165418147,0.21587048505830442,0.0,0.0,0.0,0.1198375993830752,0.564,
SHB-A.ST,Handelsbanken A,Finans,146.0,1.9488633008096363,0.013348378772668743,0.12992359396174794,52.262679807449715,444467722.4797646,0.005856053319036381,0.0017152658662091813,0.010730377878188424,0.20590913194336435,0.32825913790355055,0.23212621865918862,-0.2072003184198404,0.0,0.0,0.0,0.11356875961630052,0.471,
BOL.ST,Boliden,Material,587.4000244140625,16.88148187574568,0.02873932784150823,0.30548673760810624,70.86767242816799,524441506.20714873,0.02192073223500479,0.09958818980036521,0.23950207212361851,0.35599473355511485,0.5578534199302194,-0.740614265428874,0.24247480966389098,0.0,0.0,0.0,0.11073901031861877,0.471,
VOLV-B.ST,Volvo B,Industri,351.20001220703125,5.995423133760619,0.017071249787503816,0.16134186175289675,55.42878521319039,954143365.192633,0.0008549966251505392,0.03843879222583224,-0.0370167248372244,0.18672697210268607,0.28811211480818727,-0.06631144426083929,0.5049068894006281,0.0,0.0,0.0,0.10851276029084708,0.471,
INDU-C.ST,Industrivarden C,Finans,536.7999877929688,8.018855864354471,0.014938256420838738,0.1872194950791791,54.94077501956905,191072150.91323853,0.0003727398735209331,0.039906964546284174,-0.00037246221048647943,0.31754564789943085,0.29891581710475124,-0.06752097870864132,-0.22235088959818555,0.0,0.0,0.0,0.106354142189797,0.378,
SKF-B.ST,SKF B,Industri,272.70001220703125,4.89852903566911,0.017963068633639053,0.1687922468913566,66.97819498697373,208995532.17461854,0.0018368845612677376,0.04924978303633587,0.05208333088046735,0.05351804325756362,0.7504931647235553,-0.33939174320050686,0.20586112241502383,0.0,0.0,0.0,0.1023073673236247,0.471,
STOR-B.ST,Storskogen B,Industri,10.739999771118164,0.27870732778392626,0.02595040351243038,0.18609992951858578,60.20381040079365,33673236.30954685,-0.0004653433684664865,0.012252603077051338,0.036679548941490614,0.04671083070363085,0.6402250961377397,0.023806016289403223,-0.18086497175162114,0.0,0.0,0.0,0.10104882513792794,0.471,
INDT.ST,Indutrade,Industri,249.1999969482422,5.025316558343033,0.020165797030032753,0.17123688402081633,66.25394735108796,68893205.61844711,0.004029008913358334,0.0348836951413114,0.036605670861818096,0.1850926252650098,0.6952971420127778,-0.23161669228674653,-0.5903295374830034,0.0,0.0,0.0,0.09788958151534428,0.378,
